creative_director,genderLabel
Rudolf Dassler,male
Pierpaolo Piccioli,male
Alessandro Michele,male
Matthieu Blazy,male
Eric Wright,male
Nanette Lepore,female
Nicole Farhi,female
Nicole Miller,female
Patricia Field,female
Rachel Roy,female
Rebecca Taylor,female
Reem Acra,female
Roksanda Ilincic,female
Rossella Jardini,female
Sara Berman,female
Simone Mirman,female
Sonia Delaunay,female
Sophia Kokosalaki,female
Sophie Albou,female
Stacey Bendet,female
Sue Wong,female
Sybil Connolly,female
Tamara Mellon,female
Tanya Ling,female
Tara Jarmon,female
Tory Burch,female
Tracy Reese,female
Trelise Cooper,female
Vera Wang,female
Tsumori Chisato,female
Vanessa Bruno,female
Veronique Branquinho,female
Victoria Beckham,female
Vivienne Tam,female
Vivienne Westwood,female
Wendy Dagworthy,female
Yeojin Bae,female
Zandra Rhodes,female
Anita Pallenberg,female
Nina Ricci,female
Coco Chanel,female
Jeanne Lanvin,female
Marithé Bachellerie,female
Joséphine Callot Crimont,female
Marthe Callot Bertrand,female
Regina Callot Tennyson-Chantrell,female
Marie Callot Gerber,female
Consuelo Castiglioni,female
Giovanna Fontana,female
Micol Fontana,female
Zoe Fontana,female
Belinda Bellville,female
Marg von Schwerin,female
Jil Sander,female
Grès,female
Armandine Fresnais-Margaine,female
"Lucy, Lady Duff-Gordon",female
Louise Chéruit,female
Marie Huet,female
Mme Agnès,female
Dumebi Iyamah,female
Lien Bergé-Farwick,female
Hila Aadnevik,female
María Rosa Cazamor,female
Abiodun Folashade Tokunbo,female
Cami James,female
Nadia Napreychikov,female
Olga di Grésy,female
Anne Maria Schelfhout-Picnot,female
Jenny Haesely,female
Alessandra Facchinetti,female
Abigail Ashley,female
Abigail Keats,female
Adama Ndiaye,female
Adejoke Lasisi,female
Adrianne Ho,female
Adrienne Steckling-Coen,female
Agatha Ruiz de la Prada,female
Agneta Eckemyr,female
Agnimitra Paul,female
Aheda Zanetti,female
Aida Vee,female
Aimee Song,female
Aisha Ayensu,female
Aisleyne Horgan-Wallace,female
Akina Minami,female
Akshata Murty,female
Alejandra Dorado,female
Aleksandra Lalić,female
Alexandra Byrne,female
Aline Bernstein,female
Alison Carroll,female
Alison Eastwood,female
Alla Levashova,female
Allegra Versace,female
Alyssa Milano,female
Amsale Aberra,female
Ana Kras,female
Ana Locking,female
Andrée Putman,female
Angela Chan,female
Angela Kelly,female
Ania Pieroni,female
Anita Beryl,female
Anita Dongre,female
Calvin Klein,male
Yves Saint Laurent,male
François Girbaud,male
Ottavio Missoni,male
Pierre Balmain,male
Cristóbal Balenciaga,male
Sally Berg,male
Jean Patou,male
Jean-Paul Gaultier,male
André Courrèges,male
Gustavo Lins,male
Antoine Doucet,male
Ferdinando Sarmi,male
Gunner de Medici,male
René Bégué,male
Félix Poussineau,male
Leo Hirsch,male
Telfar Clemens,male
Karl Lagerfeld,male
Alberto Aspesi,male
Joe Mimran,male
Kristian Aadnevik,male
FAUX LAKE,male
Martin Ross,male
Stanley Platos,male
Benjamin Downend,male
Brian Atwood,male
Patrick Robinson,male
Christophe Decarnin,male
Anthony Vaccarello,male
Abbas Kaijuka,male
ASAP Bari,male
Adam Lippes,male
Admiral T,male
Adolf Dassler,male
Adolfo,male
Adolfo Domínguez,male
Agostino Lanfranchi,male
Aijaz Aslam,male
Al Sherrod Lambert,male
Alain Manoukian,male
Alan Faena,male
Alan King,male
Alber Elbaz,male
Albert Capraro,male
"Albert Hammond, Jr.",male
Albert Nipon,male
Aldo Gucci,male
Alessandro Dell'Acqua,male
Alessandro Sartori,male
Alex Stenzel,male
Alexander Amosu,male
Alexander Julian,male
Alexander Vasilyev,male
Alexander van Slobbe,male
Alexis Kirk,male
Alexis Lavigne,male
Alfred Shaheen,male
Allan Zeman,male
Alphadi,male
Andre Soriano,male
Andrew Christian,male
Andrew Fezza,male
Andrew MacKenzie,male
André Kim,male
Andrey Bartenev,male
Andrés Sardá Sacristán,male
Jonny Johansson,male
Adam Kimmel,male
Aldo Bensadoun,male
Alexandre Birman,male
Alexis Bittar,male
Alexis Mabille,male
Andrew Gn,male
Armand Basi,male
Charles Anastase,male
Christian Wijnants,male
David Koma,male
Renzo Rosso,male
Dries Van Noten,male
Alfred Dunhill,male
Duro Olowu,male
Erdem Moralıoğlu,male
Esteban Cortázar,male
James Perse,male
Jean Colonna,male
Mark Eisen,male
Martin Grant,male
Muhammad Adnan Hameed,male
Nasir Mazhar,male
Marc Audibet,male
Amancio Ortega,male
Aitor Muñoz,male
Loris Azzaro,male
Manny Mashouf,male
Alessandro Berluti,male
Benjamin Choyce Sowden,male
Bob Mackie,male
Andrew J Buckler,male
Nazareno Fonticoli,male
Adrienne Wu,neutrois
Anja Gockel,female
Ann Bonfoey Taylor,female
Ann Lovett,female
Ann Lowe,female
Ann Salens,female
Ann-Sofie Johansson,female
Alice Roi,female
Anine Bing,female
Anna Sheffield,female
Annoushka Ducas,female
Claudie Pierlot,female
Ece Ege,female
Ali Hewson,female
Eileen Fisher,female
Adele Casagrande,female
Luisa Beccaria,female
Lyn Devon,female
Martha Stewart,female
Chantal Thomass,female
Yeohlee Teng,female
Atsuko Kudō,female
Ann-Sofie Back,female
Barbara Bui,female
Behnaz Sarafpour,female
Marie-France Cohen,female
Carine Gilson,female
Stella McCartney,female
Glória Coelho,female
Hannah Marshall,female
Hiroko Koshino,female
Keren Craig,female
Kate Sylvester,female
Alice Prin,female
Krizia,female
Ada Masotti,female
Limi Feu,female
Gorjana Reidel,female
Malene Birger,female
Gela Nash-Taylor,female
Louise Trotter,female
Nadège Vanhee-Cybulski,female
Gaia Trussardi,female
designerLabel,genderLabel
Albert Kriemler,male
Alessandra Rich,female
Alexandre Vauthier,male
An Vandevorst,female
Andreas Melbostad,male
Angela Missoni,female
Anna Molinari,female
Badgley Mischka,male
Barbara Tfank,female
Beckett Fogg,female
Bibhu Mohapatra,male
Bill Gaytten,male
Bruno Sialelli,male
Carol Lim,female
Casey Cadwallader,male
Chitose Abe,female
Christian Siriano,male
Clare Waight Keller,female
David Neville,male
Delphine Ninous,female
Demna Gvasalia,male
Dennis Basso,male
Dion Lee,male
Ditte Reffstrup,female
Domenico Dolce & Stefano Gabbana,male
Emilia Wickstead,female
Erdem Moralioglu,male
Ermanno Scervino,male
Eudon Choi,male
Fausto Puglisi,male
Fernando Garcia,male
Filip Arickx,male
Francesco Risso,male
Gabriela Hearst,female
Gilles Mendel,male
Goga Ashkenazi,female
Grazia Malagoli,female
Guillaume Henry,male
Hanako Maeda,female
Hedi Slimane,male
Helmut Lang,male
Huishan Zhang,male
Humberto Leon,male
Ian Griffiths,male
Isabel Marant,female
J.W. Anderson,male
James Long,male
Jean Paul Gaultier,male
Jean Touitou,male
Jenni Kayne,female
Jill Stuart,female
Johnny Johansson,male
Johnson Hartig,male
Junichi Abe,male
Junya Watanabe,male
Kean Etro,male
Kim Jones,male
Kym Ellery,female
Ladislav Zdut,male
Laura Cramer,female
Laura Kim,female
Lela Rose,female
Lubov Azria,female
Lucas Ossendrijver,male
Lucie Meier,female
Luke Meier,male
Lulu Kennedy,female
Mara Hoffman,female
Marcus Wainwright,male
Maria Grazia Chiuri,female
Mark Thomas,male
Markus Lupfer,male
Mary Katrantzou,female
Matthew Williams,male
Max Azria,male
Michael Colovos,male
Michelle Smith,female
Milan Vukmirovic,male
Monique Lhuillier,female
Natasha Zinko,female
Nicky Zimmermann,female
Nicolas Ghesquière,male
Nicole Colovos,female
Nili Lotan,female
Norma Kamali,female
Olivier Rousteing,male
Oscar de la Renta,male
Pablo Coppola,male
Pamella Roland,female
Paolo Gerani,male
Peter Copping,male
Peter Melville Dundas,male
Phoebe Philo,female
Pier Paolo Piccioli,male
Piotrek Panszczyk,male
Raf Simons,male
Rei Kawakubo,female
Riccardo Tisci,male
Rodolfo Paglialunga,male
Sarah Burton,female
Satoshi Kondo,male
Scott Sternberg,male
Silvia Venturini Fendi,female
Sophie Albou-Mechaly,female
Starr Hout,female
Steven Cox,male
Sébastien Meunier,male
Thom Browne,male
Tom Ford,male
Valentino Garavani,male
Veronica Etro,female
Veronica Miele Beard,female
Veronica Swanson Beard,female
Victoria Bartlett,female
Viktor Horsting & Rolf Snoeren,male
Virgil Abloh,male
Virginie Viard,female
Véronique Branquinho,female
Véronique Nichanian,female
Wes Gordon,male
Yohji Yamamoto,male
Yoshiyuki Miyamae,male
Yusuke Takahashi,male
Zuhair Murad,male
