schoolLabel,locationSchoolLabel,countrySchoolLabel
IFM Paris,Cité de la mode et du design,France
École normale supérieure de jeunes filles,Ancienne manufacture royale de Porcelaine,France
Kingston University,Kingston upon Thames,United Kingdom
University of Massachusetts Boston,Columbia Point,United States
Queen's Gate School,London,United Kingdom
Central Saint Martins,London,United Kingdom
Highgate Wood Secondary School,Crouch End,United Kingdom
Highgate Wood Secondary School,London,United Kingdom
Barnet and Southgate College,Barnet,United Kingdom
Art Center College of Design,United States,United States
Art Center College of Design,Pasadena,United States
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
University of Brighton,Brighton,United Kingdom
Cyfarthfa High School,Merthyr Tydfil,United Kingdom
Central Saint Martins,London,United Kingdom
Central Saint Martins,London,United Kingdom
Charles University,Prague,Czech Republic
"Academy of Fine Arts, Prague",Prague,Czech Republic
University of Westminster,London,United Kingdom
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
City of London School for Girls,Barbican Estate,United Kingdom
Eton College,Eton,United Kingdom
Central Saint Martins,London,United Kingdom
Glasgow School of Art,Glasgow,United Kingdom
Emory University,Druid Hills,United States
Rhode Island School of Design,Providence,United States
Fitzjohn's Primary School,London,United Kingdom
Fitzjohn's Primary School,Hampstead,United Kingdom
Sylvia Young Theatre School,London,United Kingdom
Parliament Hill School,London,United Kingdom
American College of Greece,Agia Paraskevi,Greece
Georgetown University,Georgetown,United States
Baku State University,Azerbaijan,Azerbaijan
Central Saint Martins,London,United Kingdom
Guildford High School,Guildford,United Kingdom
Rhode Island School of Design,Providence,United States
Sapienza University of Rome,Gaeta,Italy
Sapienza University of Rome,Guidonia Montecelio,Italy
Sapienza University of Rome,Isernia,Italy
Sapienza University of Rome,Pomezia,Italy
Sapienza University of Rome,Viterbo,Italy
Sapienza University of Rome,Nettuno,Italy
Sapienza University of Rome,Frosinone,Italy
Sapienza University of Rome,Cassino,Italy
Sapienza University of Rome,Cisterna di Latina,Italy
Sapienza University of Rome,Malindi,Italy
Sapienza University of Rome,Buenos Aires,Italy
Sapienza University of Rome,Ariccia,Italy
Sapienza University of Rome,Colleferro,Italy
Sapienza University of Rome,Sora,Italy
Sapienza University of Rome,Civitavecchia,Italy
Sapienza University of Rome,Latina,Italy
Sapienza University of Rome,Bracciano,Italy
Sapienza University of Rome,Terracina,Italy
Sapienza University of Rome,Pozzilli,Italy
Sapienza University of Rome,Rieti,Italy
Central Saint Martins,London,United Kingdom
Yaba College of Technology,Lagos State,Nigeria
Lycee Francais Charles de Gaulle,London,United Kingdom
Rhode Island School of Design,Providence,United States
Central Saint Martins,London,United Kingdom
Central Saint Martins,London,United Kingdom
Emanuel School,London,United Kingdom
"Goldsmiths, University of London",London,United Kingdom
Henderson High School,Auckland,New Zealand
Henderson High School,Henderson,New Zealand
Cornell University,Ithaca,United States
South Essex College,Southend-on-Sea,United Kingdom
University College London,Bloomsbury,United Kingdom
University College London,Stratford,United Kingdom
University College London,London,United Kingdom
King's College London,London,United Kingdom
The Manchester Grammar School,Manchester,United Kingdom
University of the Arts London,London,United Kingdom
Sandbach School,Sandbach,United Kingdom
University of the Arts London,London,United Kingdom
Hafodunos,Llangernyw,United Kingdom
Central Saint Martins,London,United Kingdom
Hong Kong Polytechnic University,Kowloon City District,People's Republic of China
Hong Kong Polytechnic University,Yau Tsim Mong District,People's Republic of China
Hong Kong Polytechnic University,Kowloon City District,British Hong Kong
Hong Kong Polytechnic University,Yau Tsim Mong District,British Hong Kong
Hong Kong Polytechnic University,Kowloon City District,People's Republic of China
Hong Kong Polytechnic University,Yau Tsim Mong District,People's Republic of China
Hong Kong Polytechnic University,Kowloon City District,British Hong Kong
Hong Kong Polytechnic University,Yau Tsim Mong District,British Hong Kong
Central Saint Martins,London,United Kingdom
University of Washington School of Art + Art History + Design,Art Building,United States
University of Washington School of Art + Art History + Design,Ceramic and Metal Arts Building,United States
Saint Andrews International High School,Blantyre,Malawi
Michigan State University,East Lansing,United States
Central Saint Martins,London,United Kingdom
The American University in Cairo,New Cairo,Egypt
University of Bristol,Bristol,United Kingdom
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
Cooper Union,Cooper Union Foundation Building,United States
Central Saint Martins,London,United Kingdom
Duke University,Duke University campus,United States
The New School,Greenwich Village,United States
Willem de Kooning Academy,Blaak 10,Netherlands
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
National Cathedral School,Northwest,United States
Central Saint Martins,London,United Kingdom
Konstfack,Gärdet,Sweden
Konstfack,Stockholm,Sweden
Konstfack,Midsommarkransen,Sweden
Danish Design School,Fabrikmestervej 10,Denmark
Central Saint Martins,London,United Kingdom
Konstfack,Gärdet,Sweden
Konstfack,Stockholm,Sweden
Konstfack,Midsommarkransen,Sweden
Konstfack,Gärdet,Sweden
Konstfack,Stockholm,Sweden
